TAZID,CO_TAZID,DEVACRES,HH,JOB,AUTO_JB,AUTO_HH,TRAN_JB,TRAN_HH,COMP_AUTO,COMP_TRAN,AUTO_JB_WT,AUTO_HH_WT,TRAN_JB_WT,TRAN_HH_WT
1,30001,374.610000,1.1,0.0,30088,20321,0,0,30088,0,33096,0,0,0
2,30002,638.020000,15.2,3.6,32971,22315,0,0,31737,0,501162,80335,0,0
3,30003,470.790000,5.1,2.6,33942,22986,0,0,31533,0,173104,59765,0,0
4,30004,779.840000,21.0,24.1,33242,22501,0,0,29072,0,698077,542272,0,0
5,30005,395.380000,30.5,69.5,41857,28503,0,0,34413,0,1276652,1980979,0,0
6,30006,900.970000,15.1,43.9,42859,29182,0,0,34428,0,647177,1281094,0,0
7,30007,1615.310000,0.0,171.9,35806,24255,0,0,24255,0,0,4169446,0,0
8,30008,501.950000,0.0,0.0,22106,15320,0,0,0,0,0,0,0,0
9,30009,135.460000,12.1,0.0,23206,16077,0,0,23206,0,280793,0,0,0
10,30010,1026.170000,55.8,11.0,25540,17687,0,0,24768,0,1425123,194555,0,0
11,30011,978.570000,37.6,7.1,33108,22789,0,0,32133,0,1244861,161800,0,0
12,30012,743.400000,9.6,42.6,42798,29287,0,0,33200,0,410858,1247639,0,0
13,30013,203.500000,164.7,50.7,40289,27745,1829,1305,38464,1753,6635519,1406696,301284,66164
14,30014,1254.020000,6.1,0.0,39086,26559,0,0,39086,0,238427,0,0,0
15,30015,410.190000,7.3,0.0,45366,30896,0,0,45366,0,331172,0,0,0
16,30016,597.250000,17.6,1.3,45562,30891,0,0,44986,0,801885,40159,0,0
17,30017,274.890000,0.0,0.0,51759,35215,0,0,0,0,0,0,0,0
18,30018,453.970000,8.2,0.0,44501,30159,0,0,44501,0,364910,0,0,0
19,30019,3139.590000,0.0,8.2,37938,25621,0,0,25621,0,0,210088,0,0
20,30020,510.910000,0.0,96.9,53878,36930,0,0,36930,0,0,3578486,0,0
21,30021,954.920000,0.0,0.0,46323,31845,0,0,0,0,0,0,0,0
22,30022,1402.990000,0.0,0.0,61221,41948,0,0,0,0,0,0,0,0
23,30023,79.090000,0.0,9.2,74054,50696,0,0,50696,0,0,466405,0,0
24,30024,118.430000,0.0,0.0,64353,44130,0,0,0,0,0,0,0,0
25,30025,309.310000,0.0,694.7,47480,32311,0,0,32311,0,0,22446114,0,0
26,30026,226.710000,0.0,0.0,49699,33761,0,0,0,0,0,0,0,0
27,30027,152.620000,0.0,0.0,44138,29988,0,0,0,0,0,0,0,0
28,30028,213.130000,9.2,12.5,51416,34966,0,0,44359,0,473024,437069,0,0
29,30029,239.590000,9.6,281.8,45344,30910,0,0,31747,0,435300,8710328,0,0
30,30030,135.200000,19.2,98.9,42466,29028,1510,1178,32520,1264,815345,2870878,28986,116529
31,30031,202.260000,33.5,102.4,41812,28561,1275,988,33487,1095,1400713,2924597,42722,101212
32,30032,207.110000,1.6,2233.6,48352,32898,891,687,32918,688,77364,73481995,1426,1535472
33,30033,101.660000,124.2,16.0,41108,28250,2557,1834,40253,2509,5105554,451993,317613,29347
34,30034,113.050000,297.4,181.3,38234,26485,2662,1908,35272,2472,11370774,4801705,791827,345934
35,30035,84.960000,171.6,3.1,40633,27955,2676,1822,40508,2667,6972671,86660,459175,5649
36,30036,108.840000,316.4,58.5,38684,26832,3126,2190,37585,3039,12239633,1569662,989137,128102
37,30037,78.900000,65.7,128.7,40788,27974,2441,1676,34125,2043,2679744,3600226,160354,215649
38,30038,118.120000,338.6,228.9,39620,27344,3206,2221,36280,2938,13415459,6259089,1085585,508477
39,30039,257.170000,118.8,146.9,36013,24961,1507,1139,31525,1358,4278290,3666792,178989,167374
40,30040,56.630000,176.7,187.7,38807,26920,3024,2301,34409,2756,6857151,5052856,534273,431970
41,30041,54.370000,137.0,7.9,36393,25314,1926,1467,36050,1912,4985792,199981,263827,11590
42,30042,64.040000,200.4,156.7,39494,27407,3060,2434,35846,2871,7914566,4294696,613161,381445
43,30043,64.210000,165.2,8.9,36528,25435,2074,1553,36207,2059,6034406,226368,342685,13824
44,30044,42.720000,115.8,337.2,41187,28554,2965,2498,33394,2677,4769401,9628346,343296,842379
45,30045,43.530000,63.5,10.3,38893,27033,1858,1521,37917,1830,2469711,278440,117998,15663
46,30046,72.920000,196.3,773.8,42481,29431,2300,2218,33535,2244,8338981,22773496,451586,1716327
47,30047,75.010000,168.2,144.4,40337,28041,1581,1423,36379,1530,6784608,4049072,265897,205481
48,30048,31.610000,96.7,2.0,35577,24700,0,0,35454,0,3440291,49400,0,0
49,30049,76.400000,270.0,3.4,34854,24315,1180,890,34781,1178,9410513,82672,318653,3027
50,30050,31.960000,85.6,4.3,33830,23592,0,0,33553,0,2895836,101445,0,0
51,30051,54.170000,79.2,4.9,31807,22204,0,0,31489,0,2519093,108798,0,0
52,30052,62.250000,150.1,53.6,36348,25315,936,778,34529,910,5455891,1356884,140522,41710
53,30053,78.650000,156.8,8.8,35521,24744,0,0,35197,0,5569711,217748,0,0
54,30054,45.980000,97.6,8.2,37882,26338,1014,828,37370,1006,3697294,215968,98961,6788
55,30055,35.710000,41.3,4.9,39731,27654,0,0,38987,0,1640876,135504,0,0
56,30056,339.170000,82.6,43.3,37390,26041,0,0,34840,0,3088442,1127593,0,0
57,30057,238.460000,0.0,10.1,51202,34834,0,0,34834,0,0,351825,0,0
58,30058,247.940000,36.0,322.1,47397,32349,730,502,34880,540,1706309,10419645,26297,161555
59,30059,188.870000,0.0,0.0,46456,31530,0,0,0,0,0,0,0,0
60,30060,195.740000,0.0,0.0,39898,27453,616,470,0,0,0,0,0,0
61,30061,230.260000,0.0,0.0,39702,26874,0,0,0,0,0,0,0,0
62,30062,47.720000,29.2,102.9,42734,29390,1766,1166,33916,1370,1247828,3024233,51578,119967
63,30063,45.440000,44.1,663.5,45130,30970,2056,1565,32490,1618,1990252,20548682,90657,1038589
64,30064,77.580000,229.7,745.9,40189,27648,2478,2029,32135,2190,9231519,20622931,569207,1513313
65,30065,34.640000,22.0,176.4,44621,30711,2543,1672,33271,1832,981659,5417384,55949,294943
66,30066,97.750000,271.0,64.8,40067,27752,3322,2214,38629,3192,10858138,1798340,900207,143480
67,30067,88.380000,147.6,123.8,43553,30038,1572,1152,39271,1439,6428378,3718716,232082,142619
68,30068,75.150000,210.5,40.4,46478,32023,2687,1764,45091,2598,9783601,1293738,565546,71269
69,30069,85.380000,225.6,159.1,45258,31204,2949,2062,41315,2700,10210167,4964533,665247,328052
70,30070,346.270000,441.9,1036.8,51848,35716,1847,1462,42739,1630,22911638,37030837,816169,1516275
71,30071,198.150000,588.5,676.5,49414,34202,2907,2119,43503,2601,29080198,23137669,1710820,1433334
72,30072,57.420000,142.0,108.1,44540,30943,3317,2415,40512,3050,6324677,3344951,471047,261109
73,30073,57.770000,28.2,37.1,40733,28293,1902,1488,35495,1727,1148678,1049669,53623,55195
74,30074,56.130000,89.5,76.2,39830,27699,1014,776,35947,938,3564774,2110650,90768,59143
75,30075,51.310000,145.8,169.7,44619,31047,2364,1795,39305,2141,6505516,5268606,344698,304557
76,30076,52.470000,170.4,44.3,42758,29817,1624,1207,41132,1571,7286038,1320902,276704,53479
77,30077,40.390000,87.0,20.5,41789,29131,1123,853,40330,1092,3635606,597181,97704,17488
78,30078,101.430000,9.1,0.0,39931,27805,0,0,39931,0,363370,0,0,0
79,30079,334.150000,276.3,532.7,43782,30526,1432,1244,36942,1335,12096880,16261261,395544,662558
80,30080,218.950000,0.0,0.0,40531,28468,0,0,0,0,0,0,0,0
81,30081,113.800000,0.0,189.7,53804,37119,2984,2344,37119,2344,0,7041407,0,444592
82,30082,53.090000,0.0,247.9,51525,35686,3948,3115,35686,3115,0,8846625,0,772300
83,30083,244.480000,0.0,387.0,47633,33007,2174,1684,33007,1684,0,12773694,0,651525
84,30084,232.510000,62.7,205.4,46258,32352,2225,1772,37298,1933,2900346,6645047,139482,363938
85,30085,198.230000,75.8,266.4,49583,34789,1302,1186,39816,1226,3758372,9267853,98672,316044
86,30086,109.480000,0.0,0.0,43017,30187,0,0,0,0,0,0,0,0
87,30087,205.870000,26.9,5.0,46232,32429,674,671,44946,674,1243650,162145,18135,3355
88,30088,184.340000,227.6,89.4,51026,35851,1715,1635,48318,1700,11613442,3205120,390247,146125
89,30089,58.410000,56.0,73.2,47901,33355,2931,2463,41799,2734,2682447,2441574,164132,180266
90,30090,140.580000,163.9,54.0,46489,32512,2370,1977,44336,2309,7619628,1755623,388374,106737
91,30091,181.780000,165.2,25.4,49118,34462,1649,1462,47970,1634,8114367,875343,272386,37141
92,30092,111.310000,206.9,19.2,50723,35619,1550,1364,49985,1541,10494497,683885,320731,26181
93,30093,56.880000,158.1,36.8,53152,37375,2199,1943,51354,2170,8403389,1375404,347741,71487
94,30094,47.230000,0.0,0.0,45930,32274,0,0,0,0,0,0,0,0
95,30095,116.720000,46.7,4.9,50259,35287,963,962,49438,963,2347076,172905,44987,4715
96,30096,151.300000,80.9,76.9,56549,39756,2194,2030,50764,2138,4574837,3057231,177518,156108
97,30097,169.140000,274.7,42.7,54202,38151,1958,1720,52932,1939,14889381,1629032,537953,73444
98,30098,107.240000,0.0,0.0,44107,30993,0,0,0,0,0,0,0,0
99,30099,195.100000,156.7,7.9,51420,36153,837,793,51006,836,8057526,285607,131123,6264
100,30100,98.770000,53.3,1.7,58875,41264,2123,1956,58570,2120,3138040,70148,113154,3325
101,30101,196.110000,21.5,9.9,58478,40986,1961,1822,54928,1933,1257267,405766,42169,18036
102,30102,55.080000,0.0,0.0,53594,37759,0,0,0,0,0,0,0,0
103,30103,95.610000,0.0,0.0,57239,40211,778,752,0,0,0,0,0,0
104,30104,89.620000,46.7,0.0,61142,42777,1967,1814,61142,1967,2855319,0,91855,0
105,30105,138.830000,0.0,0.0,66614,45680,0,0,0,0,0,0,0,0
106,30106,174.890000,25.2,0.0,59463,41575,667,642,59463,667,1498476,0,16799,0
107,30107,205.050000,23.9,0.0,62490,43601,1499,1400,62490,1499,1493521,0,35817,0
108,30108,140.880000,35.9,1.4,64620,45091,2240,2042,64207,2236,2319844,63127,80407,2858
109,30109,89.580000,0.0,78.1,75456,51602,0,0,51602,0,0,4030088,0,0
110,30110,107.660000,20.2,14.9,72312,49650,735,706,65747,726,1460701,739778,14843,10518
111,30111,104.180000,17.6,13.5,68575,47504,1921,1757,62301,1872,1206927,641307,33813,23723
112,30112,70.300000,7.0,0.0,67328,46798,2242,2032,67328,2242,471295,0,15695,0
113,30113,225.220000,21.4,1.0,70911,48742,842,788,70353,841,1517504,48742,18023,788
114,30114,114.850000,43.2,4.2,65968,46302,2237,1981,64965,2224,2849820,194469,96623,8322
115,30115,152.890000,16.5,1.2,65184,45763,1940,1729,64433,1932,1075531,54916,32011,2075
116,30116,126.740000,43.4,0.0,62956,44328,946,851,62956,946,2732311,0,41072,0
117,30117,61.970000,62.5,62.6,65923,46681,2269,1919,59065,2144,4120194,2922240,141797,120119
118,30118,172.330000,173.6,14.8,64519,45744,1776,1524,63674,1765,11200520,677007,308339,22559
119,30119,127.410000,85.7,0.0,63745,45125,1050,924,63745,1050,5462977,0,89996,0
120,30120,100.180000,60.4,8.1,67736,47894,1678,1445,66367,1661,4091270,387941,101321,11704
121,30121,125.110000,60.6,2.1,66950,47371,1652,1421,66582,1648,4057200,99479,100104,2983
122,30122,245.140000,11.3,0.0,71454,50372,1910,1582,71454,1910,807432,0,21588,0
123,30123,174.390000,57.4,0.6,71653,50509,1978,1627,71532,1976,4112896,30305,113516,976
124,30124,409.220000,126.0,10.4,76121,53357,1727,1324,75127,1710,9591233,554914,217639,13771
125,30125,206.880000,64.3,28.6,77868,54522,2246,1702,73260,2139,5006920,1559322,144428,48671
126,30126,289.050000,156.7,25.0,89334,62002,2246,1533,87119,2188,13998669,1550062,351984,38316
127,30127,456.860000,181.6,18.4,81545,56855,1470,1059,80235,1448,14808585,1046127,266998,19477
128,30128,484.120000,110.4,75.0,94358,65356,3385,2239,86439,3072,10417075,4901693,373758,167921
129,30129,172.180000,47.1,0.0,92628,64197,3633,2402,92628,3633,4362765,0,171104,0
130,30130,147.590000,3.2,0.0,77036,54040,0,0,77036,0,246516,0,0,0
131,30131,950.540000,2.4,10.7,75978,53651,0,0,60095,0,182348,574070,0,0
132,30132,280.100000,1.2,25.8,81172,56762,0,0,58656,0,97406,1464468,0,0
133,30133,807.360000,4.2,0.0,72587,51590,0,0,72587,0,304864,0,0,0
134,30134,423.290000,1.2,0.0,83951,58437,0,0,83951,0,100741,0,0,0
135,30135,398.560000,0.0,0.0,69006,49214,0,0,0,0,0,0,0,0
136,30136,161.900000,0.0,0.0,38909,26292,0,0,0,0,0,0,0,0
137,30137,47.860000,0.0,0.0,47495,32366,0,0,0,0,0,0,0,0
138,30138,217.560000,0.0,0.0,43991,29887,0,0,0,0,0,0,0,0
139,30139,139.320000,0.0,0.0,24529,16991,0,0,0,0,0,0,0,0
140,30140,37.440000,0.0,0.0,40020,27874,0,0,0,0,0,0,0,0
141,570141,11710.240000,146.8,947.7,47279,33700,0,0,36672,0,6940496,31937247,0,0
142,570142,6238.950000,32.3,0.0,61484,48259,0,0,61484,0,1985933,0,0,0
